dateNo	date	ZT	key	startZT	cell	protocol	RI	C	tau
7	31/01/2011	7.4	9	18	WT	HypSteps	2.118	42.17	89.31
8	09/02/2011	4.6	6	15	WT	HypSteps	2.798	13.33	37.29
8	09/02/2011	4.6	21	18	WT	HypSteps	0.8676	71.19	61.76
8	09/02/2011	4.6	22	18	WT	HypSteps	0.5074	278.6	141.4
9	02/03/2011	5.1	4	15	WT	HypSteps	2.539	45.26	114.9
10	23/03/2011	7.2	5	17	WT	HypSteps	2.274	46.74	106.3
11	01/04/2011	2.6	5	13	WT	HypSteps	3.293	15.25	50.21
12	06/04/2011	4.3	5	14	WT	HypSteps	3.537	27.19	96.18
13	08/04/2011	5.6	5	16	WT	HypSteps	3.377	34.24	115.6
14	12/04/2011	15	5	21	WT	HypSteps	2.35	42.04	98.78
15	22/04/2011	2.7	5	13	WT	HypSteps	-1.83	-339	620.2
15	22/04/2011	2.7	6	13	WT	HypSteps	-1.422	-50.57	71.92
17	28/04/2011	11	31	21	WT	HypSteps	2.652	19.81	52.55
18	28/04/2011	14	44	24	WT	HypSteps	2.374	52.32	124.2
19	29/04/2011	16	14	1.7	WT	HypSteps	2.817	25.62	72.17
19	29/04/2011	16	29	18	WT	HypSteps	1.377	28.83	39.72
20	07/12/2011	8	9	16	WT	HypSteps	1.999	23.39	46.74
21	07/12/2011	9.7	20	18	WT	HypSteps	1.892	24.16	45.72
22	07/12/2011	11	32	20	WT	HypSteps	2.514	16.82	42.29
23	20/12/2011	4	10	12	WT	HypSteps	3.201	30.78	98.54
24	21/12/2011	5.1	10	13	WT	HypSteps	2.696	29.06	78.33
25	21/12/2011	8.1	26	16	WT	HypSteps	2.985	22.07	65.86
26	24/12/2011	12	6	20	WT	HypSteps	2.703	16.82	45.46
27	06/01/2012	4.9	10	13	WT	HypSteps	2.591	19.17	49.66
28	01/02/2012	9.9	2	18	WT	HypSteps	1.795	31.06	55.75
29	02/02/2012	8	2	16	WT	HypSteps	1.617	40.62	65.66
30	07/02/2012	19	1	15	WT	HypSteps	2.536	34.72	88.05
31	09/02/2012	21	2	18	WT	HypSteps	1.963	32.24	63.28
32	10/02/2012	20	2	16	WT	HypSteps	2.476	15.58	38.58
33	24/10/2012	23	1	14	WT	HypSteps	2.092	23.6	49.36
34	24/10/2012	23	5	14	WT	HypSteps	1.689	18.95	32
35	26/10/2012	9.6	2	13	WT	HypSteps	2.323	21.15	49.13
35	26/10/2012	9.6	7	13	WT	HypSteps	2.539	22.71	57.65
35	26/10/2012	9.6	8	13	WT	HypSteps	3.6	30.5	109.8
36	29/10/2012	1.5	2	17	WT	HypSteps	1.829	25.58	46.79
37	01/11/2012	10	2	13	WT	HypSteps	1.741	16.55	28.82
38	01/11/2012	2.2	11	17	WT	HypSteps	1.267	28.8	36.49
38	01/11/2012	2.2	17	17	WT	HypSteps	1.709	37.6	64.26
39	05/11/2012	1.9	15	17	WT	HypSteps	1.361	19.18	26.09
39	05/11/2012	1.9	20	17	WT	HypSteps	2.434	17.63	42.92
40	06/11/2012	10	3	13	WT	HypSteps	1.883	14.81	27.9
40	06/11/2012	10	7	14	WT	HypSteps	1.878	17.12	32.16
40	06/11/2012	10	9	14	WT	HypSteps	2.438	20.49	49.94
41	08/11/2012	11	2	14	WT	HypSteps	1.591	15.21	24.2
41	08/11/2012	11	6	14	WT	HypSteps	1.588	15.17	24.09
41	08/11/2012	11	8	14	WT	HypSteps	2.064	18.32	37.81
42	09/11/2012	2.5	8	17	WT	HypSteps	2.05	20.62	42.26
42	09/11/2012	2.5	12	18	WT	HypSteps	2.261	21.71	49.08
42	09/11/2012	2.5	14	18	WT	HypSteps	2.885	25.51	73.61
43	10/11/2012	4.1	3	19	WT	HypSteps	1.302	28.06	36.54
43	10/11/2012	4.1	7	19	WT	HypSteps	1.653	32.5	53.73
43	10/11/2012	4.1	9	19	WT	HypSteps	2.011	38.16	76.75
44	11/11/2012	2	3	17	WT	HypSteps	1.589	34.14	54.26
44	11/11/2012	2	7	17	WT	HypSteps	1.547	31.62	48.93
44	11/11/2012	2	9	17	WT	HypSteps	2.089	45.24	94.5
45	11/11/2012	3.3	12	18	WT	HypSteps	1.319	17.94	23.66
45	11/11/2012	3.3	16	19	WT	HypSteps	1.364	17.31	23.61
45	11/11/2012	3.3	18	19	WT	HypSteps	1.748	17.96	31.39
46	13/11/2012	1.5	9	17	WT	HypSteps	1.238	11.67	14.45
46	13/11/2012	1.5	13	17	WT	HypSteps	1.332	10.64	14.18
46	13/11/2012	1.5	15	17	WT	HypSteps	1.724	14.76	25.45
47	22/11/2012	4.5	11	20	WT	HypSteps	1.748	18.13	31.7
47	22/11/2012	4.5	16	20	WT	HypSteps	1.481	23.05	34.13
47	22/11/2012	4.5	19	20	WT	HypSteps	2.355	19.53	45.98
